Filename;Index;DataIndex;Frequency (Hz);Time (s);-Z'' (Ω);Z (Ω);-Phase (°);Z' (Ω)
C:\Users\gpnan\AppData\Local\Temp\EIS - OCP\2-EIS frequency scan-FrequencyScan.txt;1;1;1000249,99999982;69,54668405;1,24187720915979;4,06500117701304;17,788534048899;3,87065570239551
;2;2;794578,234724064;70,68668385;0,418082493192419;3,09220845258135;7,77048261163692;3,06381463915518
;3;3;631207,344479913;71,62888417;0,115005278257317;2,43343943480987;2,70882947058336;2,43072031893033
;4;4;501437,233627252;73,13448429;0,0189057748342948;1,97506532378475;0,54845661873294;1,97497483652194
;5;5;398357,170553439;74,29258351;0,0186467810043578;1,7328372781415;0,616562493546253;1,73273694774337
;6;6;316477,766016677;75,78728419;0,0302521000558214;1,59742283959168;1,0851361565249;1,59713635576032
;7;7;251438,643150781;76,68058453;0,0521683193109974;1,52190852570674;1,96438230612948;1,5210141442732
;8;8;199776,231496601;77,52098377;0,0759010794317947;1,4878392849993;2,92417335351061;1,48590200354139
;9;9;158489,319245876;78,70324793;0,0948436649047053;1,46595965707273;3,70947442661184;1,46288837420777
;10;10;125892,541179194;79,62518589;0,117972512182023;1,45152469098204;4,66185031075706;1,44672264615577
;11;11;100000;80,80248905;0,143422003242258;1,45294485449364;5,66496337721365;1,44584884382342
;12;12;79432,8234721399;82,42490019;0,174061249539042;1,45789656985313;6,85701694702233;1,44746851081411
;13;13;63095,7344477959;83,29307311;0,209174342256146;1,4668474577766;8,19839987559751;1,45185659034472
;14;14;50118,7233625298;84,55267559;0,255596996509567;1,48135142509588;9,93571445946025;1,45913406512523
;15;15;39810,7170550419;85,85459311;0,30478101861155;1,50359052165361;11,6950175637733;1,47237664593699
;16;16;31622,7766013657;87,51403287;0,369788197682525;1,53037599520697;13,9828972190698;1,48502773561993
;17;17;25118,8643150248;88,74472787;0,449071616246839;1,56547408256523;16,670051192857;1,49968122834984
;18;18;19952,6231495358;90,35574571;0,54778118132217;1,61249349647086;19,8592450634747;1,51659851429114
;19;19;15848,93192441;91,19015643;0,669630493823818;1,67644444671246;23,5428588575703;1,53689979655614
;20;20;12589,2541178838;92,75791435;0,820482065535376;1,76360892118882;27,7250454033791;1,56112959328545
;21;21;10000;94,32958403;1,0071943484475;1,88267325445466;32,342620299624;1,5906030703775
;22;22;7942,85714280639;95,20019897;1,23775360558252;2,04427226931298;37,2629546680927;1,62696500360318
;23;23;6309,99999982236;96,01826425;1,52227224949484;2,26128510724577;42,3136727098133;1,67215356192828
;24;24;5012,49999968914;96,79054189;1,87364378113432;2,54873531936617;47,3179363254701;1,72786304711955
;25;25;3980;97,68531901;2,30918352281787;2,92781147274268;52,0647824348642;1,79993096475119
;26;26;3162,85714280639;98,12355593;2,8419549056972;3,41278781473634;56,3809359335533;1,8895536463399
;27;27;2512,49999968914;98,67116041;3,49891039025986;4,03166733288775;60,2105467122362;2,00298965648998
;28;28;1993,33333309649;99,03413297;4,30906703940893;4,81605021306819;63,4738349799484;2,15087910043167
;29;29;1585,71428561278;99,77327339;5,2941797616009;5,78643680623883;66,1956687142106;2,33548957703751
;30;30;1253,99999982236;100,11314897;6,53397497264803;7,02530066539536;68,4446989230798;2,58108901357809
;31;31;1006,66666654824;100,47659269;7,94855271861637;8,45222490525047;70,1204431013673;2,87412865549069
;32;32;793,333333096486;100,95330649;9,81702239600535;10,352446487831;71,4921962098933;3,28621660268056
