Filename;Index;DataIndex;Frequency (Hz);Time (s);-Z'' (Ω);Z (Ω);-Phase (°);Z' (Ω)
C:\Users\gpnan\AppData\Local\Temp\2 EIS GC 10A Li2SO4 saturado 1000\2-EIS frequency scan-FrequencyScan.txt;1;1;200249,999999822;20,55952943;4,10777273440048;28,2014020893647;8,3754108697224;27,9006323040992
;2;3;158860,485739096;22,42248757;3,37959895207845;28,0027430985304;6,93181868892153;27,7980562623613
;3;4;126183,269646263;23,43082415;2,73210815993056;27,7016200660098;5,66007194212802;27,5665619779471
;4;5;100227,677540783;24,70312557;2,79566337805544;27,943957544162;5,74178268942796;27,8037592693241
;5;6;79611,0876933198;26,28303459;2,51885200565049;27,8497616973097;5,18916744586574;27,7356198987975
;6;7;63235,2803058247;27,22830483;2,57480052560768;27,8483792837276;5,30501971623679;27,7290935838819
;7;8;50227,936726169;28,44950403;2,97560995480545;29,4992048856359;5,78932024937021;29,3487450205556
;8;9;39896,1721300446;30,12531747;3,0012528872634;28,1783887688004;6,11411527009599;28,0181026251306
;9;10;31689,6264184765;31,08405219;3,3244077663532;28,3906442501237;6,72448696633336;28,1953363863617
;10;11;25171,1472286302;32,57778891;3,8851768747539;28,6814597872163;7,7851927344314;28,4170993624892
;11;12;19993,5033766323;34,57933443;4,51826787790551;29,0082914120543;8,9607492533699;28,654253192679
;12;13;15880,8882903356;35,58075551;5,31396531018383;29,4214272141298;10,4056120391034;28,9375560819932
;13;14;12614,2281387537;36,97380243;6,29822346471122;29,911265693874;12,1553820525177;29,2406599890988
;14;15;10019,5120464972;38,97963475;7,50732705791815;30,6228230187265;14,1909724694052;29,6883366001144
;15;16;7958,3333331853;40,04527805;8,97357795376487;31,5135954436144;16,5440603321323;30,208965498532
;16;17;6321,42857140319;41,10143685;10,7475333048235;32,6480035933967;19,2198737959361;30,8282770601303
;17;18;5021,42857140319;41,95271333;12,8776052666743;34,1474489370233;22,1552563685731;31,6261845865469
;18;19;3986,66666654824;42,65210161;15,4399855830874;36,1396656562993;25,2919605120613;32,675407861925
;19;20;3168;43,41197167;18,4639593730036;38,6208836138638;28,5602262140849;33,921303857424
;20;21;2513,99999982236;43,84827667;22,0636091282829;41,8123587298976;31,8489380985649;35,5171859075575
;21;22;1993,33333309649;44,44061513;26,3155306622074;45,7950619730873;35,074205316373;37,4790681192226
;22;23;1586,66666654824;45,00942205;31,1955000900819;50,6696348398978;38,0002266542905;39,9280937303334
;23;24;1265,99999982236;45,37676269;36,7977627232599;56,4887147346429;40,6485946933373;42,8590661463187
;24;25;1006,66666654824;45,74050813;43,3797674186321;63,5869744585422;43,0167028009194;46,4919250999212
;25;26;793,333333096486;46,08812193;51,2935554340365;72,4096911908387;45,1032358476217;51,1090456699012
;26;27;629,999999822364;46,40664177;60,064458773351;82,4910839358205;46,7300824254101;56,5423710253736
;27;28;506,666666548243;46,71665837;69,5731653710314;93,6733637560988;47,9637135150555;62,7237892480797
;28;29;393,333333096486;47,25468309;82,1578377725327;108,850969793394;49,005590919381;71,4046449294757
;29;30;317,142856838339;47,57266131;94,3215528024774;123,872563969331;49,5913298480441;80,2985478154211
;30;31;257,142856838339;47,87196847;107,429824866573;140,438918445709;49,9032244199193;90,4539802514953
;31;32;193,333333096486;48,21325661;127,554988161652;166,576675001263;49,9731728777564;107,133158497065
;32;33;157,499999777955;48,53688621;143,438552772513;187,982733618402;49,7330334731245;121,502632552443
;33;34;125,999999822364;48,86707193;162,471057258928;214,08812403554;49,3671474144675;139,41621285282
;34;35;106,666666548243;49,20711261;177,710279941045;235,477979651515;48,997327077595;154,495745261916
;35;36;80;49,51264077;205,944107040353;276,464134269697;48,1523659633527;184,443601984034
;36;37;65,9999998223643;49,82524173;226,063725357911;306,701559197434;47,4833055602686;207,270447704057
;37;38;53,9999998223643;50,17049941;248,994318519614;341,240858041394;46,8590066240069;233,339136326891
;38;39;40;50,50181273;285,681143077932;397,663898622276;45,9224143593648;276,627657252767
