Filename;Index;DataIndex;Frequency (Hz);Time (s);-Z'' (Ω);Z (Ω);-Phase (°);Z' (Ω)
C:\Users\gpnan\AppData\Local\Temp\2 EIS 1A LiCl saturado 1000\2-EIS frequency scan-FrequencyScan.txt;1;1;200249,999999822;515,09275569;7,39861369064408;156,88052948506;2,70311833295724;156,705970042527
;2;2;158860,485739096;516,51431383;5,9923384566414;156,038959328517;2,20086157428591;155,923855481282
;3;3;126183,269646263;517,52445041;4,65420737868391;156,169102157382;1,70780216146316;156,099733575426
;4;4;100227,677540783;518,95085183;3,80539290850567;156,220361062843;1,39581370571263;156,174006145123
;5;5;79611,0876933198;520,15736085;3,27739894930001;155,763853563749;1,20563905976529;155,729370168752
;6;6;63235,2803058247;521,82073109;2,98772912543028;155,911340154531;1,09802627469187;155,882710598241
;7;7;50227,936726169;523,35613029;2,57385331120182;155,979826517251;0,945491659994574;155,958589245621
;8;8;39896,1721300446;524,95014373;2,22061903043411;155,413051488581;0,818698473766162;155,397186023795
;9;9;31689,6264184765;525,94787845;2,06866273537581;155,499121456281;0,762249582166832;155,485360751945
;10;10;25171,1472286302;527,12991517;2,03346894893237;155,152111849488;0,750956741566476;155,138785657841
;11;11;19993,5033766323;528,83166069;2,08372941530024;155,290584013692;0,768832732831311;155,27660337294
;12;12;15880,8882903356;530,12318177;2,1937168770445;155,729152662382;0,807137736634103;155,713700730562
;13;13;12614,2281387537;531,18822869;2,32806298312943;156,112810247963;0,854466252045938;156,095450434224
;14;14;10019,5120464972;532,58106101;2,55420664508413;156,319299964622;0,936236111480711;156,298431117665
;15;15;7958,3333331853;533,71140431;2,83920695768735;156,776671873414;1,03767650641075;156,750960914297
;16;16;6321,42857140319;534,88536311;3,17502943246499;157,121945684894;1,15787879517049;157,089862829877
;17;17;5021,42857140319;535,68963959;3,60385241093047;157,50669975266;1,31107790567338;157,465465149584
;18;18;3986,66666654824;536,49752787;4,11525258228423;157,806491263866;1,49431962832403;157,752823686921
;19;19;3168;537,07279793;4,75041559791245;158,46726006106;1,71782831387359;158,396041815781
;20;20;2513,99999982236;537,57230293;5,50014902497278;158,601339377074;1,98736358048883;158,505940623388
;21;21;1993,33333309649;538,06614139;6,4129149660084;159,297676549797;2,3072042837975;159,168540471422
;22;22;1586,66666654824;538,57864831;7,51931831310713;159,878542034162;2,69569752603377;159,701621955055
;23;23;1265,99999982236;538,94548895;8,77596397845183;160,48314971758;3,13476302680713;160,243014822875
;24;24;1006,66666654824;539,31293439;10,3053235745495;161,330668949317;3,66237755243509;161,00119580195
;25;25;793,333333096486;539,93074819;12,1923944734845;162,247204461858;4,30966996540047;161,788444805836
;26;26;629,999999822364;540,24956803;14,36896672346;163,750651857226;5,03412565254249;163,119001894219
;27;27;506,666666548243;540,56048463;16,7814747165909;164,958891052398;5,83887246732784;164,103070792638
;28;28;393,333333096486;540,96190935;20,1204847159285;166,638070657063;6,93502122169313;165,418900634433
;29;29;317,142856838339;541,28138757;23,4930255390789;168,503599325128;8,0143726698827;166,857845894472
;30;30;257,142856838339;541,58349473;27,3431676948588;171,013351761205;9,20045816162344;168,813262692872
;31;31;193,333333096486;541,89998287;33,6614110635239;174,493253464229;11,1226298078318;171,215667827872
;32;32;157,499999777955;542,22221247;39,1341236367601;177,72306820619;12,7206163017744;173,360922182033
;33;33;125,999999822364;542,55379819;46,1979160250496;181,901144672851;14,712718462754;175,93686080022
;34;34;106,666666548243;542,89473887;52,3670962905622;185,67804551009;16,3815008787345;178,140460902463
;35;35;80;543,20166703;65,2323674163941;193,617322723707;19,6889633494416;182,297575134582
;36;36;65,9999998223643;543,51386799;75,8303472038578;200,747547056106;22,1937535097628;185,874517059187
;37;37;53,9999998223643;543,86102567;88,8504232663999;209,396348316459;25,1074372624789;189,611268055592
;38;38;40;544,18813899;112,992250544509;226,599664642575;29,9102370433321;196,418327385746
;39;39;29,9999998223643;544,46990215;142,859317791643;248,967004225303;35,016214964194;203,901408805895
;40;40;25,7142856127796;544,75716895;162,0216336452;264,785564113582;37,7268338317097;209,428711484095
;41;41;20;545,04814531;199,609847333179;296,075414447515;42,3909566567261;218,66997939336
;42;42;17,1428568383388;545,34533167;226,467833532063;320,11447586308;45,0285383931641;226,242343588436
;43;43;12;545,62781167;307,105254115229;394,129400935765;51,1872994071972;247,031066015604
;44;44;9,99999982236431;545,89768455;356,802090851532;440,43790173328;54,1064454104336;258,220474105345
;45;45;8,57142841916941;546,18591939;404,329207271351;487,127494109165;56,1015611559365;271,681960506022
;46;46;5,99999982236432;546,51674483;549,745082771053;629,471638772044;60,8495536958687;306,618473004173
;47;47;4,99999973354647;546,88239063;638,606957292028;717,477663838479;62,8823269621664;327,040291409698
;48;48;3,74999980015985;547,29668895;817,541139245174;898,416414006348;65,5026140970674;372,529916379516
;49;49;3,15789458725416;547,78096963;938,115848714093;1018,42570324354;67,0937772845509;396,395720736921
;50;50;2,49999986677324;548,32326739;1135,59883438107;1223,0380952033;68,2031914048807;454,133757466733
;51;51;1,99999982236431;548,96673551;1379,08777718654;1468,58417307542;69,8941907202134;504,833018157806
;52;52;1,5789471159914;549,71940151;1690,29449538798;1783,20930327302;71,4226839279317;568,102049055039
;53;53;1,24999993338662;550,63389455;2071,37076066731;2176,8756222868;72,0887083622766;669,485359630112
;54;54;0,999999733546472;551,72333079;2494,97799560045;2609,5817973796;72,9566865258685;764,854207469954
;55;55;0,794818438122252;556,49168649;3037,11906858999;3160,80944966743;73,9182628091069;875,570751175475
;56;56;0,631326106343912;559,10293519;3720,39633543589;3858,47867923507;74,6254504610818;1022,99013943772
;57;57;0,501463762453483;562,09426897;4532,03735386092;4689,42233254007;75,1138709970876;1204,70711632946
;58;58;0,398313917604931;565,55136387;5505,17218770123;5693,735144619;75,2132373944978;1453,16863468434
